"Age","Last.year.of.life.men","Last.year.of.life.women","Other.years.of.life.men","Other.years.of.life.women"
0,30242,28481,4864,3879
1,19650,17808,2458,2482
2,18864,16426,2124,1709
3,19530,16318,2044,1620
4,20285,16495,2045,1588
5,20750,16746,2076,1583
6,20974,17022,2121,1610
7,21109,17344,2176,1672
8,21235,17720,2237,1766
9,21351,18105,2293,1876
10,21430,18449,2338,1986
11,21458,18710,2366,2082
12,21414,18866,2374,2150
13,21275,18957,2373,2197
14,21033,18992,2371,2238
15,20690,19001,2372,2277
16,20240,19025,2388,2328
17,19678,19095,2429,2404
18,19015,19237,2495,2505
19,18342,19495,2571,2620
20,17738,19910,2645,2743
21,17244,20529,2701,2866
22,16884,21402,2727,2981
23,16673,22547,2722,3089
24,16611,23940,2695,3194
25,16687,25534,2658,3299
26,16906,27282,2620,3406
27,17275,29093,2593,3515
28,17746,30869,2582,3620
29,18265,32486,2582,3711
30,18802,33856,2591,3779
31,19369,34918,2607,3817
32,19989,35639,2628,3824
33,20681,36047,2654,3800
34,21450,36240,2682,3751
35,22280,36323,2709,3682
36,23153,36374,2736,3600
37,24051,36480,2759,3509
38,24966,36702,2781,3421
39,25895,37065,2803,3340
40,26842,37587,2829,3277
41,27821,38319,2859,3238
42,28866,39347,2899,3233
43,30007,40675,2950,3258
44,31252,42223,3009,3307
45,32619,43893,3075,3374
46,34123,45670,3147,3451
47,35779,47584,3226,3535
48,37594,49726,3311,3622
49,39536,52123,3400,3711
50,41454,54504,3491,3798
51,43255,56624,3583,3882
52,44872,58236,3675,3959
53,46308,59299,3769,4030
54,47580,59934,3866,4098
55,48738,60328,3969,4165
56,49828,60645,4079,4234
57,50815,60839,4200,4309
58,51620,60792,4331,4390
59,52135,60375,4468,4478
60,52330,59590,4611,4573
61,52337,58679,4757,4676
62,52310,57895,4906,4791
63,52309,57333,5058,4922
64,52331,56948,5215,5068
65,52318,56603,5380,5229
66,52225,56174,5554,5404
67,52021,55576,5739,5592
68,51725,54840,5939,5798
69,51373,54051,6160,6031
70,50973,53294,6407,6302
71,50541,52639,6687,6620
72,50128,52130,7005,6996
73,49781,51805,7366,7436
74,49534,51679,7770,7943
75,49333,51730,8213,8520
76,49065,51911,8687,9169
77,48631,52172,9183,9892
78,48008,52532,9703,10702
79,47343,53063,10266,11627
80,46768,53804,10903,12692
81,46444,54817,11641,13925
82,46407,56133,12512,15350
83,46552,57636,13513,16960
84,46808,59222,14611,18707
85,47232,60941,15753,20530
86,47733,62678,16916,22383
87,48309,64352,18105,24240
88,49089,66058,19369,26127
89,50185,67879,20763,28078
90,51616,69831,22319,30117
91,53347,71882,24060,32267
92,55275,73936,25990,34538
93,57173,75825,28075,36922
94,58881,77493,30331,39486
95,60327,79035,32799,42324
96,61243,80146,35706,45720
97,57372,75342,36612,46784
98,53268,69729,38143,48273
99,49016,63454,40607,50337
